2021-12-03T01:16:18.4551768+01:00 0HMDLOMLH09HQ:00000013 [INF] Updating note id : 46 
	 New title : sdfdsfsddsfsdfsd 
	 New body :  (4fbdd595)
2021-12-03T01:19:17.5486117+01:00  [INF] Now listening on: "https://localhost:5001" (d826f4b8)
2021-12-03T01:19:17.5528382+01:00  [INF] Now listening on: "http://localhost:5000" (d826f4b8)
2021-12-03T01:19:17.5544938+01:00  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2021-12-03T01:19:17.5558630+01:00  [INF] Hosting environment: "Development" (c3307c92)
2021-12-03T01:19:17.5571434+01:00  [INF] Content root path: "D:\Work\Project\notes\backend\Notes.WebAPI" (b5d60022)
2021-12-03T01:23:21.0558883+01:00  [INF] Now listening on: "https://localhost:5001" (d826f4b8)
2021-12-03T01:23:21.0598686+01:00  [INF] Now listening on: "http://localhost:5000" (d826f4b8)
2021-12-03T01:23:21.0613085+01:00  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2021-12-03T01:23:21.0625672+01:00  [INF] Hosting environment: "Development" (c3307c92)
2021-12-03T01:23:21.0636194+01:00  [INF] Content root path: "D:\Work\Project\notes\backend\Notes.WebAPI" (b5d60022)
2021-12-03T01:29:09.6283593+01:00  [INF] Now listening on: "https://localhost:5001" (d826f4b8)
2021-12-03T01:29:09.6323381+01:00  [INF] Now listening on: "http://localhost:5000" (d826f4b8)
2021-12-03T01:29:09.6337714+01:00  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2021-12-03T01:29:09.6348467+01:00  [INF] Hosting environment: "Development" (c3307c92)
2021-12-03T01:29:09.6360040+01:00  [INF] Content root path: "D:\Work\Project\notes\backend\Notes.WebAPI" (b5d60022)
2021-12-03T01:30:44.8930124+01:00  [INF] Now listening on: "https://localhost:5001" (d826f4b8)
2021-12-03T01:30:44.8972445+01:00  [INF] Now listening on: "http://localhost:5000" (d826f4b8)
2021-12-03T01:30:44.8986677+01:00  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2021-12-03T01:30:44.8998000+01:00  [INF] Hosting environment: "Development" (c3307c92)
2021-12-03T01:30:44.9008703+01:00  [INF] Content root path: "D:\Work\Project\notes\backend\Notes.WebAPI" (b5d60022)
2021-12-03T01:31:54.6301863+01:00  [INF] Now listening on: "https://localhost:5001" (d826f4b8)
2021-12-03T01:31:54.6340644+01:00  [INF] Now listening on: "http://localhost:5000" (d826f4b8)
2021-12-03T01:31:54.6356177+01:00  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2021-12-03T01:31:54.6368958+01:00  [INF] Hosting environment: "Development" (c3307c92)
2021-12-03T01:31:54.6379130+01:00  [INF] Content root path: "D:\Work\Project\notes\backend\Notes.WebAPI" (b5d60022)
2021-12-03T01:33:03.9711195+01:00  [INF] Now listening on: "https://localhost:5001" (d826f4b8)
2021-12-03T01:33:03.9758697+01:00  [INF] Now listening on: "http://localhost:5000" (d826f4b8)
2021-12-03T01:33:03.9771746+01:00  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2021-12-03T01:33:03.9782989+01:00  [INF] Hosting environment: "Development" (c3307c92)
2021-12-03T01:33:03.9794108+01:00  [INF] Content root path: "D:\Work\Project\notes\backend\Notes.WebAPI" (b5d60022)
2021-12-03T01:33:56.8002820+01:00 0HMDLUHS40FP8:00000005 [INF] Updating note id : 46 
	 New title : sdsdfsdfsdfdsfsddsfsdfsd 
	 New body :  (9f74c954)
2021-12-03T11:14:27.6945216+01:00  [INF] Now listening on: "https://localhost:5001" (d826f4b8)
2021-12-03T11:14:27.6990416+01:00  [INF] Now listening on: "http://localhost:5000" (d826f4b8)
2021-12-03T11:14:27.7004709+01:00  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2021-12-03T11:14:27.7022382+01:00  [INF] Hosting environment: "Development" (c3307c92)
2021-12-03T11:14:27.7036813+01:00  [INF] Content root path: "D:\Work\Project\notes\backend\Notes.WebAPI" (b5d60022)
